FIPS,St_name,Cnty_name,Pop_est,N_pop_change,Births,Deaths,Natural_inc,Internat_mig,Domestic_mig,Net_mig,Residual,GQ_estimate,R_birth,R_Death,R_natural_inc,R_internat_mig,R_domestic_mig,R_net_mig
36095,New York,Schoharie County,30999,-147,237,313,-76,6,-76,-70,-1,1266,7.6273231958,10.073215866,-2.44589267,0.1930967898,-2.44589267,-2.252795881
36097,New York,Schuyler County,17807,-77,146,187,-41,6,-40,-34,-2,204,8.1813342299,10.478832199,-2.297497969,0.3362192149,-2.241461433,-1.905242218
36099,New York,Seneca County,34016,-163,318,313,5,8,-175,-167,-1,2675,9.3261969353,9.1795586187,0.1466383166,0.2346213065,-5.132341081,-4.897719774
36101,New York,Steuben County,95379,-481,981,1022,-41,49,-489,-440,0,1767,10.259413613,10.688196445,-0.428782832,0.5124477748,-5.11401963,-4.601571855
36103,New York,Suffolk County,1476601,-4229,15129,13146,1983,1603,-7842,-6239,27,29121,10.231176991,8.8901482401,1.341028751,1.0840489601,-5.303251369,-4.219202409
36105,New York,Sullivan County,75432,33,779,779,0,-2,40,38,-5,3778,10.32944156,10.32944156,0,-0.026519747,0.5303949453,0.5038751981
36107,New York,Tioga County,48203,-238,425,492,-67,-9,-161,-170,-1,493,8.795165763,10.181697777,-1.386532014,-0.186250569,-3.331815736,-3.518066305
36109,New York,Tompkins County,102180,-239,742,636,106,447,-797,-350,5,12985,7.2532123813,6.217039184,1.0361731973,4.3695228227,-7.790849418,-3.421326595
36111,New York,Ulster County,177573,-845,1433,1743,-310,148,-677,-529,-6,11625,8.0507653283,9.7923823917,-1.741617063,0.8314816948,-3.803466942,-2.971985247
36113,New York,Warren County,63944,-271,529,674,-145,23,-146,-123,-3,651,8.2553702822,10.518184443,-2.262814161,0.3589291427,-2.278419775,-1.919490633
36115,New York,Washington County,61204,-70,545,681,-136,7,63,70,-4,3070,8.8995574715,11.120364474,-2.220807002,0.1143062428,1.0287561848,1.1430624275
36117,New York,Wayne County,89918,-282,941,873,68,21,-370,-349,-1,1113,10.448705848,9.693645277,0.7550605714,0.2331804706,-4.108417815,-3.875237344
36119,New York,Westchester County,967506,-707,10183,7582,2601,2060,-5390,-3330,22,27689,10.521155188,7.8337816594,2.6873735289,2.1284081006,-5.568990127,-3.440582027
36121,New York,Wyoming County,39859,-164,328,345,-17,1,-147,-146,-1,3341,8.2121128665,8.6377406675,-0.425627801,0.0250369295,-3.680428632,-3.655391703
36123,New York,Yates County,24913,-38,316,267,49,10,-98,-88,1,1380,12.674474571,10.70912883,1.9653457404,0.4010909674,-3.930691481,-3.529600513
